row_number,level,Nation_fk,Year,Region,Country,wb_code,merge_key,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
122,1,115,2010,Sub-Saharan Africa,Liberia,LBR,LBR_2010,3430000,480000,60000,         <10000,         <10000,20000,         <10000,         <10000,3990000
123,1,116,2010,Middle East-North Africa,Libya,LBY,LBY_2010,170000,6140000,10000,         <10000,20000,         <10000,         <10000,         <10000,6360000
124,1,117,2010,Europe,Liechtenstein,LIE,LIE_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
125,1,118,2010,Europe,Lithuania,LTU,LTU_2010,2980000,         <10000,330000,         <10000,         <10000,         <10000,         <10000,         <10000,3320000
126,1,119,2010,Europe,Luxembourg,LUX,LUX_2010,360000,10000,140000,         <10000,         <10000,         <10000,         <10000,         <10000,510000
127,1,120,2010,Asia-Pacific,Macau,MAC,MAC_2010,40000,         <10000,80000,         <10000,90000,320000,         <10000,         <10000,540000
128,1,121,2010,Europe,Republic of Macedonia,MKD,MKD_2010,1220000,810000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,2060000
129,1,122,2010,Sub-Saharan Africa,Madagascar,MDG,MDG_2010,17680000,620000,1440000,10000,         <10000,940000,20000,         <10000,20710000
130,1,123,2010,Sub-Saharan Africa,Malawi,MWI,MWI_2010,12320000,1930000,370000,         <10000,         <10000,260000,         <10000,         <10000,14900000
131,1,124,2010,Asia-Pacific,Malaysia,MYS,MYS_2010,2670000,18100000,190000,1720000,5010000,650000,60000,         <10000,28400000
132,1,125,2010,Asia-Pacific,Maldives,MDV,MDV_2010,         <10000,310000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,320000
133,1,126,2010,Sub-Saharan Africa,Mali,MLI,MLI_2010,370000,14510000,70000,         <10000,         <10000,410000,         <10000,         <10000,15370000
134,1,127,2010,Europe,Malta,MLT,MLT_2010,400000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,420000
135,1,128,2010,Asia-Pacific,Marshall Islands,MHL,MHL_2010,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
137,1,130,2010,Sub-Saharan Africa,Mauritania,MRT,MRT_2010,         <10000,3430000,         <10000,         <10000,         <10000,20000,         <10000,         <10000,3460000
138,1,131,2010,Sub-Saharan Africa,Mauritius,MUS,MUS_2010,420000,220000,         <10000,630000,         <10000,         <10000,         <10000,         <10000,1300000
140,1,133,2010,Latin America-Caribbean,Mexico,MEX,MEX_2010,107910000,         <10000,5330000,         <10000,         <10000,70000,20000,70000,113420000
142,1,135,2010,Europe,Moldova,MDA,MDA_2010,3480000,20000,50000,         <10000,         <10000,         <10000,         <10000,20000,3570000
143,1,136,2010,Europe,Monaco,MCO,MCO_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
144,1,137,2010,Asia-Pacific,Mongolia,MNG,MNG_2010,60000,90000,990000,         <10000,1520000,100000,         <10000,         <10000,2760000
145,1,138,2010,Europe,Montenegro,MNT,MNE_2010,490000,120000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,630000
147,1,140,2010,Middle East-North Africa,Morocco,MAR,MAR_2010,20000,31930000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,31950000
148,1,141,2010,Sub-Saharan Africa,Mozambique,MOZ,MOZ_2010,13260000,4200000,4200000,         <10000,         <10000,1720000,         <10000,         <10000,23390000
149,1,142,2010,Asia-Pacific,Myanmar,MMR,MMR_2010,3750000,1900000,240000,820000,38410000,2760000,80000,         <10000,47960000
150,1,143,2010,Sub-Saharan Africa,Namibia,NAM,NAM_2010,2230000,         <10000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,2280000
151,1,144,2010,Asia-Pacific,Nauru,NRU,NRU_2010,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10000
152,1,145,2010,Asia-Pacific,Nepal,NPL,NPL_2010,140000,1370000,80000,24170000,3080000,1100000,20000,         <10000,29960000
153,1,146,2010,Europe,Netherlands,NLD,NLD_2010,8410000,1000000,6990000,80000,40000,30000,30000,30000,16610000
154,1,148,2010,Asia-Pacific,New Caledonia,NCL,NCL_2010,210000,         <10000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,250000
155,1,149,2010,Asia-Pacific,New Zealand,NZL,NZL_2010,2490000,50000,1600000,90000,70000,20000,30000,         <10000,4370000
156,1,150,2010,Latin America-Caribbean,Nicaragua,NIC,NIC_2010,4970000,         <10000,730000,         <10000,         <10000,80000,         <10000,         <10000,5790000
157,1,151,2010,Sub-Saharan Africa,Niger,NER,NER_2010,120000,15270000,110000,         <10000,         <10000,         <10000,         <10000,         <10000,15510000
